reward_pointer,reward_position,surprise_pointer,surprise_position,steps_after_reward,anchor_pointer,anchor_position,hash_key,env,score_context_start,score,abs_td_error,value_previous,value,value_next,value_diff,z_td,z_value_signal,reward_at_surprise
24463,24463,24463,24463,0,24461,24461,420,0,24401,0.00986288022249937,0.828985333442688,0.8863546848297119,0.22117435932159424,0.05092358589172363,-0.6651803255081177,6.037973880767822,-6.416228771209717,1.0
6667,6667,6667,6667,0,6665,6665,216,0,6605,0.008812584914267063,0.8215310573577881,1.1343989372253418,0.4585433006286621,0.28433942794799805,-0.6758556365966797,5.9799394607543945,-6.519248008728027,1.0
48306,48306,48306,48306,0,48304,48304,108,0,48244,0.00850991252809763,0.8671759366989136,0.9101532697677612,0.2246873378753662,0.0932621955871582,-0.685465931892395,6.335302829742432,-6.611989498138428,1.0
9504,9504,9505,9505,1,9503,9503,278,0,9443,0.007965016178786755,0.07596981525421143,0.7408311367034912,0.42245566844940186,0.3517622947692871,-0.31837546825408936,0.1754448562860489,-3.0694804191589355,0.0
14012,14012,14012,14012,0,14010,14010,111,0,13950,0.007609808351844549,0.7397429943084717,1.006422519683838,0.32702505588531494,0.06778478622436523,-0.679397463798523,5.343186378479004,-6.553427219390869,1.0
37080,37080,37080,37080,0,37078,37078,935,0,37018,0.007573846261948347,0.9775617122650146,0.8068691492080688,0.09613096714019775,0.07481491565704346,-0.7107381820678711,7.194700717926025,-6.855872631072998,1.0
9053,9053,9053,9053,0,9051,9051,799,0,8991,0.006837440654635429,0.930699348449707,1.0249040126800537,0.3089563846588135,0.24330532550811768,-0.7159476280212402,6.829858303070068,-6.906145095825195,1.0
47602,47602,47602,47602,0,47600,47600,541,0,47540,0.0064977421425282955,0.7229660749435425,1.0515775680541992,0.3583645820617676,0.08256924152374268,-0.6932129859924316,5.212571144104004,-6.686750411987305,1.0
39075,39075,39076,39076,1,39074,39074,292,0,39014,0.006010993849486113,0.18229125440120697,0.788943886756897,0.2586686611175537,0.07754051685333252,-0.5302752256393433,1.0032000541687012,-5.114362716674805,0.0
34006,34006,34006,34006,0,34004,34004,971,0,33944,0.005808645859360695,0.9914360046386719,0.928504228591919,0.18871140480041504,0.18289077281951904,-0.7397928237915039,7.302717685699463,-7.136256694793701,1.0
35440,35440,35441,35441,1,35439,35439,538,0,35379,0.00556519441306591,0.05473937839269638,0.10992586612701416,0.0769568681716919,0.022555828094482422,-0.032968997955322266,0.010157361626625061,-0.3152412176132202,0.0
50711,50711,50711,50711,0,50709,50709,935,0,50649,0.005539017263799906,1.0071536302566528,0.7795615196228027,0.0331188440322876,0.0408858060836792,-0.7464426755905151,7.425085544586182,-7.200429439544678,1.0
14582,14582,14582,14582,0,14580,14580,282,0,14520,0.005507830064743757,0.637142539024353,1.147550106048584,0.4514228105545044,0.08991408348083496,-0.6961272954940796,4.544400215148926,-6.714874267578125,1.0
50790,50790,50793,50793,3,50791,50791,539,0,50731,0.0051581948064267635,0.07480867952108383,0.542259693145752,0.18359315395355225,0.11044108867645264,-0.3586665391921997,0.16640494763851166,-3.458298683166504,0.0
47362,47362,47362,47362,0,47360,47360,939,0,47300,0.0049581569619476795,0.7973899841308594,0.8812822103500366,0.14910447597503662,-0.054320335388183594,-0.732177734375,5.791991233825684,-7.062769412994385,1.0
30058,30058,30059,30059,1,30057,30057,582,0,29997,0.00451549980789423,0.07238960266113281,0.4330078363418579,0.07297766208648682,0.14758098125457764,-0.3600301742553711,0.14757145941257477,-3.4714581966400146,0.0
31349,31349,31349,31349,0,31347,31347,935,0,31287,0.004314957186579704,0.7820618152618408,1.0403895378112793,0.29596590995788574,0.07921600341796875,-0.7444236278533936,5.67265510559082,-7.180944919586182,1.0
24919,24919,24920,24920,1,24918,24918,715,0,24858,0.0036886015441268682,0.27175483107566833,1.0846796035766602,0.4489647150039673,0.17990851402282715,-0.6357148885726929,1.6997100114822388,-6.131880283355713,0.0
39075,39075,39075,39075,0,39073,39073,420,0,39013,0.003506352659314871,0.4599039554595947,1.3959705829620361,0.6905425786972046,0.15273761749267578,-0.7054280042648315,3.16452693939209,-6.804628372192383,1.0
25330,25330,25330,25330,0,25328,25328,953,0,25268,0.0034169757273048162,0.9689680337905884,0.8832101821899414,0.09093105792999268,0.06081128120422363,-0.7922791242599487,7.127795696258545,-7.642761707305908,1.0
24463,24463,24464,24464,1,24462,24462,804,0,24402,0.002759055932983756,0.05421027913689613,0.1433621644973755,0.08647596836090088,0.03275704383850098,-0.05688619613647461,0.006038110703229904,-0.5460478067398071,0.0
