reward_pointer,reward_position,surprise_pointer,surprise_position,steps_after_reward,anchor_pointer,anchor_position,hash_key,env,score_context_start,score,abs_td_error,value_previous,value,value_next,value_diff,z_td,z_value_signal,reward_at_surprise,trigger_window_max_score,trigger_window_max_pointer,trigger_is_window_max,trigger_threshold,trigger_passed
6667,6667,6667,6667,0,6665,6665,138,0,6605,0.06148416921496391,0.8651225566864014,0.8992961645126343,0.41944921016693115,0.28890538215637207,-0.4798469543457031,6.319316864013672,-4.627717971801758,1.0,30.66157341003418,6617,False,3.5,False
3457,3457,3457,3457,0,3455,3455,121,0,3395,0.06092756614089012,0.14825844764709473,1.1932804584503174,0.9387837648391724,0.08836770057678223,-0.254496693611145,0.7382409572601318,-2.453035354614258,1.0,46.09817886352539,3408,False,3.5,False
34340,34340,34342,34342,2,34340,34340,88,0,34280,0.04793601483106613,0.0873429924249649,0.38043010234832764,0.212890625,0.12745952606201172,-0.16753947734832764,0.2639896273612976,-1.613877773284912,0.0,12.870925903320312,34339,False,3.5,False
14012,14012,14012,14012,0,14010,14010,845,0,13950,0.04719693213701248,0.8559176921844482,0.6975632905960083,0.1913818120956421,0.04801976680755615,-0.5061814785003662,6.247653007507324,-4.881852626800537,1.0,1.9298139810562134,13966,False,3.5,False
28558,28558,28558,28558,0,28556,28556,292,0,28496,0.04444097727537155,0.35937297344207764,1.2611334323883057,0.8492215871810913,0.2117711305618286,-0.41191184520721436,2.381852626800537,-3.972128391265869,1.0,2.368086576461792,28510,False,3.5,False
26657,26657,26657,26657,0,26655,26655,467,0,26595,0.042912572622299194,0.9739830493927002,0.5809929370880127,0.05064547061920166,0.025003552436828613,-0.530347466468811,7.166839599609375,-5.115059852600098,1.0,10.72413444519043,26656,False,3.5,False
44062,44062,44062,44062,0,44060,44060,166,0,44000,0.04241930693387985,1.0080840587615967,0.8687127828598022,0.3333834409713745,0.3466675281524658,-0.5353293418884277,7.4323296546936035,-5.163136005401611,1.0,2.400329351425171,44059,False,3.5,False
28558,28558,28561,28561,3,28559,28559,384,0,28499,0.03810740262269974,0.06529480218887329,0.2985578775405884,0.22866332530975342,0.16585636138916016,-0.06989455223083496,0.09233558923006058,-0.6715814471244812,0.0,5.759504795074463,28549,False,3.5,False
38996,38996,38996,38996,0,38994,38994,719,0,38934,0.03787745162844658,0.44689667224884033,1.1763496398925781,0.721479058265686,0.17093980312347412,-0.4548705816268921,3.0632598400115967,-4.386690139770508,1.0,1.1087480783462524,38995,False,3.5,False
48635,48635,48638,48638,3,48636,48636,617,0,48576,0.03616872802376747,0.05845662206411362,0.09534573554992676,0.138574481010437,0.08133792877197266,0.043228745460510254,0.03909759968519211,0.4200848639011383,0.0,2.592341423034668,48635,False,3.5,False
49581,49581,49582,49582,1,49580,49580,433,0,49520,0.033878687769174576,0.0580756813287735,0.04951679706573486,0.09489214420318604,0.037377119064331055,0.04537534713745117,0.03613182529807091,0.4408000707626343,0.0,6.410152912139893,49579,False,3.5,False
29757,29757,29757,29757,0,29755,29755,207,0,29695,0.03309972211718559,0.9667295217514038,0.5671433210372925,0.01064145565032959,-0.02297365665435791,-0.5565018653869629,7.110367774963379,-5.367455959320068,1.0,7.4130449295043945,29753,False,3.5,False
23899,23899,23900,23900,1,23898,23898,598,0,23838,0.03177563473582268,0.06240878254175186,0.1676340103149414,0.11014294624328613,0.048461079597473145,-0.05749106407165527,0.06986676156520844,-0.5518848896026611,0.0,1.165561556816101,23896,False,3.5,False
11773,11773,11773,11773,0,11771,11771,781,0,11711,0.027495088055729866,0.46240341663360596,1.1996269226074219,0.7073613405227661,0.17235004901885986,-0.49226558208465576,3.183986186981201,-4.747560977935791,1.0,54.2261962890625,11729,False,3.5,False
21251,21251,21251,21251,0,21249,21249,145,0,21189,0.027129946276545525,0.9433156251907349,0.6696476936340332,0.09518921375274658,0.03909122943878174,-0.5744584798812866,6.928081035614014,-5.540741443634033,1.0,6.33071231842041,21247,False,3.5,False
