panel,config,reference,sampling,games,seed_cells,min_n,max_n,wins,losses,game_sign_p,metric,reference_value,config_value,delta,improvement_pct,ci_low,ci_high,included_games
three_way,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),paired,8,27,2,5,3,5,0.7265625,Median,0.31175076824014675,0.30922491712095,-0.0025258511191967314,-0.810214882053162,-0.039688063589533584,0.03134844837219808,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),paired,8,27,2,5,3,5,0.7265625,IQM_game_workbook,0.32128406829215805,0.30841106547183617,-0.012873002820321888,-4.006735500067152,-0.03868919120175182,0.013729920956469526,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),paired,8,27,2,5,3,5,0.7265625,Gap_game_workbook,0.5638800066778524,0.5663614377570656,0.00248143107921317,-0.4400636748645753,-0.0116410305963093,0.02230554087723105,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),paired,8,27,2,5,3,5,0.7265625,IQM_run_equal_game,0.3303249922907531,0.3199326563428948,-0.010392335947858322,-3.146094358706881,-0.03468783989701065,0.014318533590769037,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),paired,8,27,2,5,3,5,0.7265625,Gap_run_equal_game,0.5697378781174214,0.5771329446854722,0.007395066568050779,-1.2979769911886878,-0.00910881123258721,0.0233919596261097,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,Mean,0.834547134083824,0.8139608848399286,-0.020586249243895405,-2.4667569275754855,-0.09751527026749499,0.047412984810318394,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,Median,0.31679360027217945,0.32331678214401327,0.006523181871833816,2.0591267835680065,-0.05623649941194511,0.052870824536495976,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,IQM_game_workbook,0.32925410352293455,0.3257165567715186,-0.003537546751415932,-1.074412350086176,-0.04530927709594616,0.03849002477404128,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,Gap_game_workbook,0.5552316460487947,0.557667054617193,0.0024354085683983007,-0.4386292794601035,-0.023176695277202338,0.02324464307460405,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,IQM_run_equal_game,0.3408156996184292,0.3372381476425772,-0.0035775519758520224,-1.049702810010625,-0.044519936538660765,0.03543990328676783,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 16 (anchor: 0.4),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,Gap_run_equal_game,0.5698582819225437,0.5684385615455996,-0.0014197203769441558,0.249135692501373,-0.024489359857059207,0.021128039027301884,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 4 (anchor 미설정),Retrieval 미사용,paired,12,37,1,5,5,7,0.7744140625,Mean,1.0337307793960584,1.0590489584722425,0.025318179076184055,2.4492043364497493,-0.025788923440726155,0.0756139130573441,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 4 (anchor 미설정),Retrieval 미사용,paired,12,37,1,5,5,7,0.7744140625,Median,0.306828944639852,0.2898255876530577,-0.017003356986794282,-5.541640475526972,-0.047039002743681224,0.04971989081019962,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 4 (anchor 미설정),Retrieval 미사용,paired,12,37,1,5,5,7,0.7744140625,IQM_game_workbook,0.29627122605523265,0.30429874770596016,0.00802752165072751,2.709517815014196,-0.014774160397208297,0.031234857961952998,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 4 (anchor 미설정),Retrieval 미사용,paired,12,37,1,5,5,7,0.7744140625,Gap_game_workbook,0.5778367220492377,0.5787299577390512,0.0008932356898134763,-0.1545827144120763,-0.013700401726327825,0.01236497736759468,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 4 (anchor 미설정),Retrieval 미사용,paired,12,37,1,5,5,7,0.7744140625,IQM_run_equal_game,0.30416828967250986,0.30800644407521116,0.0038381544027012993,1.261852248580462,-0.017303079557429494,0.02598151152816446,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 4 (anchor 미설정),Retrieval 미사용,paired,12,37,1,5,5,7,0.7744140625,Gap_run_equal_game,0.5841957802991736,0.5804380023887816,-0.0037577779103920017,0.6432394818852678,-0.0168805035068001,0.008727213884757735,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
